# 번역 대상이 아닌 것들의 한국어 자리.
#
# 조사·조동사·관용구·접사는 낱말 뜻으로 옮길 수 없어 번역에서 뺐다
# (`WordClass.isTranslatable`). 그러면 뜻 자리에 영어 설명문이 남는데
# (の → "indicates possessive"), 화면에서는 "아직 번역 안 된 것"과 구별되지 않는다.
# 그런 것이 3,038개다 — 관용구 2,539 · 접사 261 · 기능어 238.
#
# **손으로 적는 편이 정확하다.** 한국어 대응이 굳어 있어서, 모델에게 물으면
# 오히려 "よ → 안녕, 너" 같은 답이 온다.
#
# 뜻이 아니라 **자리**를 적는다 — `~의`처럼 붙어 쓰는 꼴 그대로. 그것이 조사의 뜻이다.
# 관용구와 접사도 같다(`~쨩` · `~해야 할` · `마음에 들다`).
# 확신이 서지 않는 것은 넣지 않았다(さ·とも·うち·とき·ども). 빈 채로 두면 영어가
# 남을 뿐이지만, 틀린 한국어를 적으면 사용자가 그것을 믿는다.
でしょう	でしょう	~겠지요
しか	しか	~밖에
て	て	~하고, ~해서
けど	けど	~지만
ば	ば	~하면
と	と	~와, ~라고
も	も	~도
か	か	~까?, ~니?
より	より	~보다
じゃない	じゃない	~아니야
ではない	ではない	~이 아니다
である	である	~이다
なんて	なんて	~따위, ~라니
なんか	なんか	~같은 거
ばかり	ばかり	~만, ~뿐
ずつ	ずつ	~씩
くらい	くらい	~쯤, ~정도
ぐらい	ぐらい	~쯤, ~정도
だけ	だけ	~만, ~뿐
ほど	ほど	~만큼
など	など	~등, ~따위
そう	そう	~인 듯
とする	とする	~하려 하다
わ	わ	~네, ~어
さ	さ	~함
のです	のです	~인 것이다
となる	となる	~이 되다
何も	なにも	아무것도
について	について	~에 대해
よりも	よりも	~보다
なのに	なのに	~인데도
それでも	それでも	그래도
これから	これから	이제부터
こそ	こそ	~야말로
かも	かも	~일지도
べき	べき	~해야 할
いけない	いけない	안 된다
人	にん	~명
このまま	このまま	이대로
でもない	でもない	~도 아니다
誰も	だれも	아무도, 누구나
ですが	ですが	~입니다만
としても	としても	~라 해도
なので	なので	~이므로
的	てき	~적
自分で	じぶんで	스스로
大	だい	대~, 큰
に対して	にたいして	~에 대해
としては	としては	~로서는
歳	さい	~세
かどうか	かどうか	~인지 어떤지
その後	そのあと	그 후
とる	とる	~하고 있다
ないと	ないと	~하지 않으면
になると	になると	~이 되면
ないか	ないか	~하지 않겠나
じゃ	じゃ	그럼
みたい	みたい	~같은
ちゃん	ちゃん	~야, ~쨩
よね	よね	~지?
え	え	어?
なんだ	なんだ	~인 것이다
じゃあ	じゃあ	그럼
様	さま	~님
だろ	だろ	~겠지
君	くん	~군
だけど	だけど	하지만
でしょ	でしょ	~지요?
なんで	なんで	왜
だろうか	だろうか	~일까
ようだ	ようだ	~인 것 같다
ねえ	ねえ	~지?
そうだ	そうだ	그렇다
なんです	なんです	~인 것입니다
けれど	けれど	하지만
へと	へと	~로
そうか	そうか	그렇구나
だったら	だったら	그렇다면
それから	それから	그리고, 그 다음
そうです	そうです	그렇습니다
なのだ	なのだ	~인 것이다
もん	もん	~인걸
気がする	きがする	느낌이 들다
ですから	ですから	그러니까
かしら	かしら	~일까
しかも	しかも	게다가
なあ	なあ	~구나
でしょうか	でしょうか	~일까요
つつ	つつ	~하면서
ではある	ではある	~이기는 하다
気になる	きになる	신경 쓰이다
目の前	めのまえ	눈앞
女の子	おんなのこ	여자아이
しかない	しかない	~할 수밖에 없다
ならば	ならば	~라면
一	いち	하나, 일
実は	じつは	사실은
そこまで	そこまで	거기까지
さえ	さえ	~조차
さて	さて	자, 그런데
でない	でない	~이 아니다
すら	すら	~조차
もう一度	もういちど	한 번 더
気にする	きにする	신경 쓰다
戻ってくる	もどってくる	돌아오다
どうしたの	どうしたの	무슨 일이야
その時	そのとき	그때
であろう	であろう	~일 것이다
これ以上	これいじょう	더 이상
間違いない	まちがいない	틀림없다
一人で	ひとりで	혼자서
もう少し	もうすこし	조금 더
いいから	いいから	됐으니까
どうしても	どうしても	아무래도, 꼭
内	ない	~내
同時に	どうじに	동시에
者	しゃ	~자
そうする	そうする	그렇게 하다
話をする	はなしをする	이야기하다
帰ってくる	かえってくる	돌아오다
と言われる	といわれる	~라고 불리다
と言う	という	~라고 하다
ながらも	ながらも	~하면서도
っぽい	っぽい	~같은, ~스러운
それでは	それでは	그러면
と言った	といった	~같은
ほう	ほう	호
んで	んで	~라서
これまで	これまで	지금까지
上	じょう	~상
だけに	だけに	~인 만큼
っけ	っけ	~였더라?
に対する	にたいする	~에 대한
他に	ほかに	그 밖에
持ってくる	もってくる	가져오다
のみ	のみ	~만
ような気がする	ようなきがする	~인 것 같다
代わりに	かわりに	대신에
どうやって	どうやって	어떻게
どうしよう	どうしよう	어쩌지
手に入れる	てにいれる	손에 넣다
関係ない	かんけいない	상관없다
それにしても	それにしても	그건 그렇고
どれだけ	どれだけ	얼마나
において	において	~에서
それ以上	それいじょう	그 이상
と思われる	とおもわれる	~라고 여겨지다
気に入る	きにいる	마음에 들다
何より	なにより	무엇보다
であれば	であれば	~라면
時	じ	~시
名	めい	~명
数	すう	몇~
のせいで	のせいで	~탓에
誰にも	だれにも	누구에게도
気をつける	きをつける	조심하다
その日	そのひ	그날
にしても	にしても	~라 해도
に向けて	にむけて	~을 향해
屋	や	~집, ~가게
その中	そのなか	그중
気	げ	~한 듯
その人	そのひと	그 사람
時には	ときには	때로는
すべき	すべき	~해야 할
でる	でる	~하고 있다
大きくなる	おおきくなる	커지다, 자라다
なり	なり	~라든가
新	しん	신~, 새
最後まで	さいごまで	끝까지
ままに	ままに	~하는 대로
少しでも	すこしでも	조금이라도
にくい	にくい	~하기 어려운
回	かい	~회, ~번
役に立つ	やくにたつ	도움이 되다
世の中	よのなか	세상
にかけて	にかけて	~에 걸쳐
よな	よな	~지?
達	たち	~들
なぁ	なぁ	~구나
ねぇ	ねぇ	~지?
かい	かい	~니?
やがる	やがる	~해 대다
かよ	かよ	~냐
口にする	くちにする	입에 담다, 먹다
まい	まい	~하지 않을 것이다
声をかける	こえをかける	말을 걸다
と共に	とともに	~와 함께
そうですね	そうですね	그렇네요
なのです	なのです	~인 것입니다
かのように	かのように	~인 것처럼
お願いします	おねがいします	부탁합니다
だからこそ	だからこそ	그렇기에
かね	かね	~인가
だよね	だよね	~지?
口を開く	くちをひらく	입을 열다
そうね	そうね	그러네
それじゃ	それじゃ	그럼
もしかしたら	もしかしたら	어쩌면
方がいい	ほうがいい	~하는 게 좋다
そうだね	そうだね	그렇네
頭を下げる	あたまをさげる	고개를 숙이다
家	け	~가, 집안
ばっかり	ばっかり	~만
いいか	いいか	잘 들어
違いない	ちがいない	틀림없다
たる	たる	~인
様に	ように	~처럼
何とか	なんとか	어떻게든, 무언가
やら	やら	~라든가
何でも	なんでも	무엇이든
それに	それに	게다가
第	だい	제~
って言う	っていう	~라고 하다
てる	てる	~하고 있다
気がつく	きがつく	알아차리다
それで	それで	그래서
超	ちょう	초~, 엄청
ってのは	ってのは	~란
ど	ど	완전, 엄청
人	じん	~인
ぜ	ぜ	~라고
に関して	にかんして	~에 관해
なりに	なりに	~나름대로
それじゃあ	それじゃあ	그럼
どころか	どころか	~은커녕
ふん	ふん	흥
何もない	なにもない	아무것도 없다
そんなもの	そんなもの	그런 것
男の子	おとこのこ	남자아이
頭が痛い	あたまがいたい	머리가 아프다, 골치 아프다
仕方がない	しかたがない	어쩔 수 없다
お早う	おはよう	안녕
今日は	こんにちは	안녕하세요
今晩は	こんばんは	안녕하세요
御馳走様	ごちそうさま	잘 먹었습니다
行ってきます	いってきます	다녀오겠습니다
初めまして	はじめまして	처음 뵙겠습니다
宜しく	よろしく	잘 부탁해
御免なさい	ごめんなさい	미안합니다
有難う	ありがとう	고마워
済みません	すみません	죄송합니다
頂きます	いただきます	잘 먹겠습니다
どう致しまして	どういたしまして	천만에요
ませ	ませ	~하십시오
られる	られる	~되다, ~하실 수 있다
れる	れる	~되다, ~하실 수 있다
下さい	ください	~해 주세요
為さい	なさい	~하세요, ~해라
# ── 2026-09-07 ──
# `ために` 는 `conj` 라 번역 대상에서 빠지는데 손으로 적어 둔 것도 없어
# 뜻 자리에 "for, for the sake of" 가 남아 있었다. 빈도 170위다.
為に	ために	~를 위해, ~때문에
# ── 1위 카드에 영어가 뜨던 기능어 (2026-09-07) ──
#
# `SpikeRunner --gloss-top` 이 처음으로 **1위 카드에 뜻이 뜨는가**를 재면서 드러난
# 자리다. 조사·조동사·접사는 낱말 뜻으로 옮길 수 없어 굽기가 일부러 건너뛰는데,
# 여기 적어 두지 않으면 화면에 영어 설명문이 그대로 남는다.
#
# **확신이 서는 것만 적었다.** 뜻이 아니라 자리를 적는다는 이 표의 규칙 그대로다.
# 뺀 것들: 앞가지 `御`(ご·お·み) 처럼 한국어에 대응하는 꼴이 없는 것, `いけ`·`取っ`·
# `かっ`·`素っ`·`ぶっ` 같은 강조 앞가지, `のん`·`てな`·`べ`·`わい` 같은 방언·감정
# 종조사, 그리고 `き`(because/since)처럼 영어 뜻만으로는 자리가 안 잡히는 것.
# 접속사·부사
では	では	그럼, 그러면
すると	すると	그러자, 그러면
そこで	そこで	그래서, 그리하여
よって	よって	따라서, 그러므로
時に	ときに	그런데, 그건 그렇고
所で	ところで	그런데, 그건 그렇고
其れと	それと	그리고, 그것과
それとも	それとも	아니면, 그렇지 않으면
何故なら	なぜなら	왜냐하면
乃至	ないし	내지, ~에서 ~까지
次に	つぎに	다음으로
或いは	あるいは	또는, 혹은
それなら	それなら	그렇다면
こうして	こうして	이렇게 해서
こうやって	こうやって	이렇게 해서
そうやって	そうやって	그렇게 해서
そしたら	そしたら	그러면, 그랬더니
そうすれば	そうすれば	그러면
それより	それより	그보다
又は	または	또는
若しくは	もしくは	또는, 혹은
所が	ところが	그런데, 그러나
従って	したがって	따라서, 그러므로
因みに	ちなみに	덧붙이자면
とは言え	とはいえ	그렇다고는 해도
その上	そのうえ	게다가
即ち	すなわち	즉, 다시 말해
加えて	くわえて	덧붙여, 게다가
及び	および	및, 그리고
それなのに	それなのに	그런데도
その代わり	そのかわり	그 대신
おまけに	おまけに	게다가, 그것도 모자라
何れにせよ	いずれにせよ	어느 쪽이든
然も無いと	さもないと	그러지 않으면
何であれ	なんであれ	무엇이든
何処も	どこも	어디나, 어디든
それも	それも	게다가, 그것도
それを	それを	그런데도, 그럼에도
つか	つか	아니 그보다
# 이어 주는 자리 — 앞말에 붙는다
ものを	ものを	~인데도, ~할 것을
ものの	ものの	~이지만, ~하기는 했지만
癖に	くせに	~인 주제에, ~면서
でしたら	でしたら	~라면
とすれば	とすれば	~라고 하면
とすると	とすると	~라고 하면
としたら	としたら	~라고 하면, ~라면
やったら	やったら	~라면
なれば	なれば	~이므로, ~라면
と言っても	といっても	~라고 해도
もので	もので	~라서, ~때문에
もんで	もんで	~라서, ~때문에
ですけど	ですけど	~입니다만
# 조사·어미
ません	ません	~하지 않습니다
のか	のか	~인가, ~인 걸까
たら	たら	~하면, ~했더니
丈	だけ	~만, ~뿐
ばっか	ばっか	~만, ~뿐
ても	ても	~해도, ~하더라도
たって	たって	~해도, ~하더라도
かて	かて	~라도
ないで	ないで	~하지 말고, ~하지 마
なさい	なさい	~하세요, ~해라
給え	たまえ	~하게
たい	たい	~하고 싶다
たがる	たがる	~하고 싶어 하다
がる	がる	~해하다
筈	はず	~할 터, ~할 것이다
たり	たり	~하거나, ~하기도 하고
わよ	わよ	~야, ~라구
てば	てば	~라니까
ちゃう	ちゃう	~해 버리다
ちまう	ちまう	~해 버리다
様です	ようです	~인 것 같습니다
みたいだ	みたいだ	~인 것 같다
たろう	たろう	~였겠지
ものか	ものか	~할까 보냐
もんか	もんか	~할까 보냐
得ない	えない	~할 수 없다
切れない	きれない	다 ~할 수 없다
やしない	やしない	~하지 않는다
無さそう	なさそう	없을 것 같다
無き	なき	~없는
無くして	なくして	~없이
にて	にて	~에서
つつある	つつある	~하고 있다
放題	ほうだい	마음껏 ~하기
べく	べく	~하기 위해
等	など	~등, ~따위
等	ら	~들
置き	おき	~마다, ~걸러
# 세는 말
つ	つ	~개
ヶ月	かげつ	~개월
枚	まい	~장
匹	ひき	~마리
冊	さつ	~권
番目	ばんめ	~번째
回目	かいめ	~번째
代目	だいめ	~대째
年生	ねんせい	~학년
分間	ふんかん	~분간
号室	ごうしつ	~호실
丁目	ちょうめ	~번지
カ国	かこく	~개국
時半	じはん	~시 반
所	しょ	~곳
# 앞가지·뒷가지
中	じゅう	~내내, ~동안
力	りょく	~력
不	ふ	불~, 부~
犯	はん	~범
症	しょう	~증
民	みん	~민
歴	れき	~력, ~경력
流	りゅう	~류
低	てい	저~
来	らい	다음 ~
今	こん	이번 ~
振り	ぶり	~만에
キロ	キロ	킬로~
ミリ	ミリ	밀리~
メガ	メガ	메가~
バイオ	バイオ	바이오~
サイバー	サイバー	사이버~
