# 모델이 틀리게 옮긴 뜻을 사람이 고친 것.
#
# 색인에 실린 뜻을 빈도 상위부터 훑어 보니 **넷 중 하나가 틀리거나 부정확했다.**
# 그것도 가장 흔한 낱말부터 그랬다 — 来る 가 "오래오래 기다려라", 取る 가 "다녀가다",
# 相手 가 "동료, 사촌" 이었다.
#
# 틀리는 방식은 몇 가지로 갈린다.
#   ① 딴 낱말   見る → "보다, 보내다"(送る) · 臓物 → "간장, 찹쌀국수"
#   ② 품사 어긋남  違う → "다름, 다른"(동사인데 명사) · 歩く → "걸을, 걷다"
#   ③ 같은 말 두 번  聞く → "듣다, 듣는다" · 入れる → "넣다, 넣는다"
#   ④ 설명문     教える → "선생님이 가르치는 것, 학생이 배우는 것"
#
# ③④는 tidy 가 길이와 중복으로 거르지만, ①②는 짧고 한국어라 **걸러낼 방법이 없다.**
# 모델을 바꿔서 풀 문제도 아니다(qwen 3B·7B 와 견줘 Apple 모델이 나았다).
# 남은 길은 사람이 보는 것이라, 빈도 상위부터 훑어 고친다.
#
# 색인 구울 때 모델 것보다 나중에 넣어 이기게 한다. 다듬지 않고 그대로 싣는다.
言う	いう	말하다
薄い	うすい	얇다, 옅다
調子	ちょうし	상태, 컨디션
迎える	むかえる	맞이하다
流す	ながす	흘리다, 흘려보내다
新た	あらた	새롭다
平気	へいき	아무렇지 않다, 태연하다
外す	はずす	빼다, 벗기다
進める	すすめる	진행하다, 나아가게 하다
去る	さる	떠나다
悩む	なやむ	고민하다
迫る	せまる	다가오다, 다그치다
友人	ゆうじん	친구
疑う	うたがう	의심하다
目指す	めざす	목표로 하다
払う	はらう	지불하다, 털다
性格	せいかく	성격
希望	きぼう	희망
集中	しゅうちゅう	집중
万	まん	만
証拠	しょうこ	증거
一日	いちにち	하루
遠慮	えんりょ	사양, 삼감
実際に	じっさいに	실제로
暇	ひま	틈, 한가함
相当	そうとう	상당함, 해당
後悔	こうかい	후회
疑問	ぎもん	의문
抜く	ぬく	뽑다, 빼다
予想	よそう	예상
超える	こえる	넘다, 넘어서다
努力	どりょく	노력
円	えん	엔, 원
立派	りっぱ	훌륭하다
一方	いっぽう	한편, 한쪽
妻	つま	아내
通う	かよう	다니다, 오가다
運命	うんめい	운명
伸びる	のびる	늘어나다, 자라다
支える	ささえる	떠받치다, 지탱하다
非常	ひじょう	비상, 대단함
最も	もっとも	가장
乗せる	のせる	태우다, 싣다
通じる	つうじる	통하다
得意	とくい	잘함, 자신 있음
二度と	にどと	두 번 다시
関わる	かかわる	관계되다, 관여하다
本来	ほんらい	본래, 원래
取れる	とれる	빠지다, 떨어지다
直す	なおす	고치다
解決	かいけつ	해결
扱う	あつかう	다루다, 취급하다
重ねる	かさねる	겹치다, 거듭하다
案内	あんない	안내
寒い	さむい	춥다
型	かた	형, 틀
展開	てんかい	전개
迷惑	めいわく	폐, 민폐
古い	ふるい	오래되다, 낡다
結ぶ	むすぶ	묶다, 맺다
別れる	わかれる	헤어지다
抑える	おさえる	억누르다, 억제하다
年	とし	나이, 해
間	かん	동안, 사이
頼る	たよる	의지하다
目立つ	めだつ	눈에 띄다
唯一	ゆいいつ	유일하다
寄る	よる	다가가다, 들르다
減る	へる	줄다
間に合う	まにあう	시간에 대다, 충분하다
到着	とうちゃく	도착
額	がく	액자, 액수
安全	あんぜん	안전
午後	ごご	오후
切れる	きれる	끊어지다, 잘리다
際	さい	때, 즈음
正確	せいかく	정확하다
以来	いらい	이래, 이후
完成	かんせい	완성
貸す	かす	빌려주다
降る	ふる	내리다
狭い	せまい	좁다
出かける	でかける	외출하다, 나가다
至る	いたる	이르다, 다다르다
信頼	しんらい	신뢰
複雑	ふくざつ	복잡하다
含める	ふくめる	포함시키다
違い	ちがい	차이
育てる	そだてる	기르다, 키우다
通す	とおす	통과시키다, 관철하다
学ぶ	まなぶ	배우다
対象	たいしょう	대상
度	ど	도, 번
加える	くわえる	더하다, 가하다
及ぶ	およぶ	미치다, 이르다
種類	しゅるい	종류
訴える	うったえる	호소하다, 고소하다
視線	しせん	시선
嬉しい	うれしい	기쁘다
見つめる	みつめる	바라보다, 응시하다
全て	すべて	모두, 전부
少女	しょうじょ	소녀
扉	とびら	문
瞳	ひとみ	눈동자
先輩	せんぱい	선배
慌てる	あわてる	당황하다, 허둥대다
街	まち	거리, 시가
妹	いもうと	여동생
立ち上がる	たちあがる	일어서다
震える	ふるえる	떨리다
浮かべる	うかべる	띄우다, 떠올리다
気付く	きづく	알아차리다
両手	りょうて	양손
三人	さんにん	세 사람
眺める	ながめる	바라보다
何だ	なんだ	뭐야
床	ゆか	바닥, 마루
森	もり	숲
倒す	たおす	쓰러뜨리다
構う	かまう	상관하다, 신경 쓰다
響く	ひびく	울리다
謝る	あやまる	사과하다
振り返る	ふりかえる	돌아보다
仕方ない	しかたない	어쩔 수 없다
地面	じめん	땅, 지면
お父さん	おとうさん	아버지, 아빠
叩く	たたく	두드리다, 때리다
見上げる	みあげる	올려다보다
全身	ぜんしん	온몸, 전신
連中	れんちゅう	패거리, 무리
戦い	たたかい	싸움, 전투
告げる	つげる	알리다, 고하다
気配	けはい	기척, 낌새
廊下	ろうか	복도
取り出す	とりだす	꺼내다
四	よん	넷, 사
兄	あに	형, 오빠
嘘	うそ	거짓말
相変わらず	あいかわらず	여전히
浮かぶ	うかぶ	뜨다, 떠오르다
痛み	いたみ	아픔, 통증
普段	ふだん	평소
綺麗	きれい	예쁘다, 깨끗하다
手紙	てがみ	편지
下さる	くださる	주시다
電話	でんわ	전화
挨拶	あいさつ	인사
無駄	むだ	헛됨, 낭비
触る	さわる	만지다
六	ろく	여섯, 육
駄目	だめ	안 됨, 소용없다
巨大	きょだい	거대하다
多分	たぶん	아마
黒	くろ	검정
付き合う	つきあう	사귀다, 어울리다
椅子	いす	의자
無い	ない	없다
命令	めいれい	명령
本当に	ほんとうに	정말로
匂い	におい	냄새
頬	ほお	볼, 뺨
階段	かいだん	계단
勝負	しょうぶ	승부
真剣	しんけん	진지하다
七	なな	일곱, 칠
鋭い	するどい	날카롭다
姉	あね	누나, 언니
似合う	にあう	어울리다
揺れる	ゆれる	흔들리다
話しかける	はなしかける	말을 걸다
視界	しかい	시야
申す	もうす	말씀드리다
お互い	おたがい	서로
既に	すでに	이미
取り戻す	とりもどす	되찾다
右手	みぎて	오른손
白	しろ	흰색
適当	てきとう	적당하다
心臓	しんぞう	심장
酒	さけ	술
空間	くうかん	공간
真面目	まじめ	성실하다, 진지하다
お礼	おれい	감사 인사, 사례
お茶	おちゃ	차
味方	みかた	아군, 편
炎	ほのお	불꽃, 화염
荷物	にもつ	짐
細い	ほそい	가늘다
鍵	かぎ	열쇠
飛び出す	とびだす	뛰쳐나오다
膝	ひざ	무릎
興奮	こうふん	흥분
指示	しじ	지시
弟	おとうと	남동생
随分	ずいぶん	꽤, 몹시
差し出す	さしだす	내밀다
八	はち	여덟, 팔
閉じる	とじる	닫다, 감다
勘違い	かんちがい	착각
警察	けいさつ	경찰
伸ばす	のばす	늘리다, 뻗다
冷静	れいせい	냉정함, 침착함
怪しい	あやしい	수상하다
馬	うま	말
巻き込む	まきこむ	말려들게 하다, 휩쓸다
多少	たしょう	다소, 어느 정도
恋人	こいびと	연인
青い	あおい	파랗다
押さえる	おさえる	누르다, 억누르다
提案	ていあん	제안
悔しい	くやしい	분하다, 억울하다
一本	いっぽん	한 자루, 한 개
室	しつ	방, 실
身体	しんたい	신체, 몸
いつの間にか	いつのまにか	어느새
扱い	あつかい	다룸, 취급
抵抗	ていこう	저항
犯人	はんにん	범인
苦手	にがて	서투르다, 질색이다
引っ張る	ひっぱる	잡아당기다
箱	はこ	상자
追いかける	おいかける	뒤쫓다
真っ赤	まっか	새빨갛다
絵	え	그림
壊れる	こわれる	부서지다, 망가지다
拾う	ひろう	줍다
囲む	かこむ	둘러싸다
知り合い	しりあい	아는 사람, 지인
単純	たんじゅん	단순하다
船	ふね	배
辺り	あたり	근처, 주변
臓物	ぞうもつ	내장
ぶらぶら	ぶらぶら	어슬렁어슬렁
ブラウン	ブラウン	갈색
早過ぎる	はやすぎる	너무 이르다
憑く	つく	씌다, 들리다
頑張り	がんばり	분발, 노력
絆	きずな	유대, 인연
大柄	おおがら	덩치가 큼
細君	さいくん	아내
一同	いちどう	일동
効果音	こうかおん	음향 효과
役回り	やくまわり	역할
寂れる	さびれる	황폐해지다
あんま	あんま	별로
知らん顔	しらんかお	모르는 척
渇き	かわき	갈증
ひた走る	ひたはしる	내달리다
登場人物	とうじょうじんぶつ	등장인물
報じる	ほうじる	알리다, 보도하다
シェア	シェア	공유
ペンキ	ペンキ	페인트
早口	はやくち	빠른 말투
日	にち	날, 일
帰り	かえり	귀가, 돌아감
いいえ	いいえ	아니요
水気	みずけ	물기
大儀	たいぎ	수고, 번거로움
一筋	ひとすじ	한 줄기, 한결같음
域	いき	영역, 경지
老ける	ふける	나이 들다
まま	まま	그대로
転がる	ころがる	구르다
続き	つづき	계속, 다음 편
ノート	ノート	공책
桜	さくら	벚꽃
その手	そのて	그런 수법
へえ	へえ	허, 그래?
ふう	ふう	후
きっちり	きっちり	빈틈없이
気持ちいい	きもちいい	기분 좋다
お休み	おやすみ	잘 자, 휴일
お帰り	おかえり	어서 와, 귀가
御免	ごめん	미안
とんでも無い	とんでもない	당치 않다, 천만에
只今	ただいま	다녀왔습니다, 지금
行ってらっしゃい	いってらっしゃい	잘 다녀와
御目出度う	おめでとう	축하해
左様なら	さようなら	안녕히
お疲れ様	おつかれさま	수고했어

# 상위 500개를 다시 훑어 찾은 것 (2026-09-01)
# 인사말·감탄사가 뜻과 엉키고(ううん→어어 · じゃん→짜잔),
# 동음이의 명사를 집은 것이 많았다(いくら→연어알젓 · 雨→장마철).
ため	ため	위함, 때문
いくら	いくら	얼마
まさか	まさか	설마
おい	おい	이봐, 야
よう	よう	모양, ~듯
つい	つい	무심코, 그만
ううん	ううん	아니
じゃん	じゃん	~잖아
そりゃ	そりゃ	그건
はっ	はっ	헉
はあ	はあ	하아
そっか	そっか	그렇구나
書く	かく	쓰다
雨	あめ	비
そろそろ	そろそろ	슬슬
せい	せい	탓, 때문
口	くち	입
ごと	ごと	~마다

# 1000~2000위를 훑어 찾은 것 (2026-09-01)
だんだん	だんだん	점점
こりゃ	こりゃ	이건
顔色	かおいろ	안색
主人	しゅじん	주인, 남편
ついでに	ついでに	~하는 김에
二十	はたち	이십
責める	せめる	나무라다
叱る	しかる	꾸짖다
暴れる	あばれる	날뛰다
ふざける	ふざける	장난치다
まとも	まとも	제대로, 멀쩡하다
仮に	かりに	가령, 만일
そっくり	そっくり	쏙 닮다
布	ぬの	천
見事	みごと	훌륭하다
そうそう	そうそう	맞아맞아
主	ぬし	주인
感触	かんしょく	감촉
尽くす	つくす	다하다
かつ	かつ	또한
無	む	없음
派	は	파, 파벌

# 2000~3000위를 훑어 찾은 것 (2026-09-01)
# 웃음소리와 맞장구가 죄다 "맞아요" 로 뭉개졌고(はは · ハッ · はーい),
# 가타카나를 영어로 되읽은 것이 있었다(セリフ→글자꼴 · モノ→단순한 · イヤ→귀).
はは	はは	하하
はぁ	はぁ	하아
ハッ	ハッ	헉
はあっ	はあっ	하앗
はーい	はーい	네
ええと	ええと	저기, 음
えーと	えーと	저기, 음
そりゃあ	そりゃあ	그건
やだ	やだ	싫어
あのさ	あのさ	있잖아
くそ	くそ	젠장
セリフ	セリフ	대사
モノ	モノ	것, 물건
イヤ	イヤ	싫어
貴様	きさま	너, 이 자식
睨む	にらむ	노려보다
凄い	すごい	대단하다
お兄さん	おにいさん	형, 오빠
様	ざま	님, 모양
皮肉	ひにく	비꼼
折る	おる	접다, 꺾다
護衛	ごえい	호위
以内	いない	이내
何となく	なんとなく	왠지
唸る	うなる	으르렁거리다
捧げる	ささげる	바치다
向き直る	むきなおる	돌아서다
呆れる	あきれる	어이없어하다
ずるい	ずるい	치사하다
憧れる	あこがれる	동경하다
今さら	いまさら	이제 와서
親子	おやこ	부모 자식
屋敷	やしき	저택
質	しつ	질
弟子	でし	제자
餌	えさ	먹이
牙	きば	송곳니
拭う	ぬぐう	닦다
唱える	となえる	외치다
淡い	あわい	옅다
何時	なんじ	몇 시
# ── 2026-09-06 · 음차가 뜻 자리에 든 것 (Translator --audit) ──
# 54건 중 대부분은 지명·고유명사·일본 문화어라 음차가 곧 뜻이다(홋카이도·우키요에·낫토).
# 진짜로 옮기다 만 것은 둘이었다.
鮪	まぐろ	참치
檜	ひのき	편백나무
#
# ── 구웠는데 `KoreanGloss.tidy` 가 버리는 줄 (2026-09-07) ─────────────
#
# 모델이 뜻 대신 설명을 하거나(`お別れ` → "다음은 「お別れ」의 한국어 뜻입니다:"),
# 옮기다 말고 가나·한자를 남긴 것들이다(`おでん` → "오데ん" · `棚` → "장物").
# tidy 가 버리므로 화면에는 영어가 남는다 — 구멍과 다를 바 없다.
# **다시 물어도 대개 같은 것이 돌아온다.** 손으로 적는 편이 빠르다.
#
# 목록은 `swift run SpikeRunner --gloss-rejects --freq …` 가 흔한 것부터 뽑아 준다.
# 여기 적은 것은 3만 위 안쪽 145개다.
見	み	보기
えっと	えっと	음, 저기
陛下	へいか	폐하
どうやら	どうやら	아무래도
物事	ものごと	사물, 일
学び	まなび	배움
大佐	たいさ	대령
やん	やん	~잖아
数え	かぞえ	세는나이
あのう	あのう	저기요
とっく	とっく	훨씬 전
うんうん	うんうん	응응
お別れ	おわかれ	작별
またね	またね	또 봐
がっかり	がっかり	실망하다
いらっしゃる	いらっしゃる	오시다, 가시다
誓って	ちかって	맹세코
野生	やせい	야생
坊	ぼう	스님
売春婦	ばいしゅんふ	매춘부
お陰で	おかげで	덕분에
棚	たな	선반
鹿	しか	사슴
真夜中	まよなか	한밤중
婚約者	こんやくしゃ	약혼자
ですら	ですら	~조차
とは限らない	とはかぎらない	꼭 그렇지는 않다
侍	さむらい	사무라이
似合い	にあい	잘 어울림
年ぶり	ねんぶり	~년 만에
お弁当	おべんとう	도시락
陪審員	ばいしんいん	배심원
偉そう	えらそう	잘난 척하는
えい	えい	얍
変に	へんに	이상하게
泳ぐ	およぐ	헤엄치다
彼方	かなた	저편, 저쪽
応じて	おうじて	~에 따라
折り紙	おりがみ	종이접기
茉莉	まつり	재스민
瀬	せ	여울
姪	めい	조카딸
植民	しょくみん	식민
小麦	こむぎ	밀
摘出	てきしゅつ	적출
近づける	ちかづける	가까이하다
不明者	ふめいしゃ	실종자
植民地	しょくみんち	식민지
願い事	ねがいごと	소원
留守電	るすでん	자동응답기
もんだから	もんだから	~때문에
宣誓	せんせい	선서
躊躇	ちゅうちょ	주저, 망설임
いつの日か	いつのひか	언젠가
ろう	ろう	여섯
女王様	じょおうさま	여왕님
来るべき	きたるべき	다가올
めっちゃ	めっちゃ	엄청, 무척
書斎	しょさい	서재
か否か	かいなか	~인지 아닌지
お代わり	おかわり	한 그릇 더
人狼	じんろう	늑대인간
口寄せ	くちよせ	혼 부르기
異様	いよう	기이함
立ち去る	たちさる	떠나다
よくぞ	よくぞ	잘도
絞首刑	こうしゅけい	교수형
閃光	せんこう	섬광
差し押さえ	さしおさえ	압류
持参	じさん	지참
小豆	しょうず	팥
おむつ	おむつ	기저귀
寄り道	よりみち	들렀다 감
支配下	しはいか	지배 아래
枡	ます	됫박
蹴る	ける	차다
柏木	かしわぎ	떡갈나무
平成	へいせい	헤이세이
近付く	ちかづく	다가가다
自販機	じはんき	자판기
野良犬	のらいぬ	들개
悪名高い	あくめいたかい	악명 높다
宰相	さいしょう	재상
徘徊	はいかい	배회
心当たりがある	こころあたりがある	짚이는 데가 있다
絶滅危惧	ぜつめつきぐ	멸종 위기
腱	けん	힘줄
認知症	にんちしょう	치매
顔見知り	かおみしり	아는 사이
丼	どん	덮밥
右舷	うげん	우현
麦	むぎ	보리
心変わり	こころがわり	변심
抱っこ	だっこ	안아 주기
こん畜生	こんちくしょう	젠장
独断	どくだん	독단
蛇口	じゃぐち	수도꼭지
不測	ふそく	뜻밖
穢れ	けがれ	더러움, 부정
怒鳴る	どなる	고함치다
目つき	めつき	눈빛
おでん	おでん	오뎅
在宅	ざいたく	재택
泥酔	でいすい	만취
思い付き	おもいつき	생각, 착상
ああん	ああん	아앙
不動産屋	ふどうさんや	부동산
傍聴	ぼうちょう	방청
弥生	やよい	야요이
芝刈り	しばかり	잔디 깎기
食えない	くえない	만만찮다
何時か	いつか	언젠가
柳	やなぎ	버드나무
見に来る	みにくる	보러 오다
うっさい	うっさい	시끄러워
でちゅ	でちゅ	~이에요
ゆったり	ゆったり	느긋하게
不老不死	ふろうふし	불로불사
博学	はくがく	박학
気軽に	きがるに	부담 없이
汚れ仕事	よごれしごと	궂은일
煮干し	にぼし	마른 멸치
いじめっ子	いじめっこ	괴롭히는 아이
求愛	きゅうあい	구애
隣町	となりまち	옆 동네
南北戦争	なんぼくせんそう	남북 전쟁
戸棚	とだな	찬장
来たるべき	きたるべき	다가올
千尋	ちひろ	천 길
寝言	ねごと	잠꼬대
尻拭い	しりぬぐい	뒷수습
散らす	ちらす	흩뿌리다
毒入り	どくいり	독이 든
茶漬け	ちゃづけ	오차즈케
